edad,ingreso,egreso,intentos,duracion,i_juego
63.687264568398085,13560.742553501728,12880.742553501728,68,34.138897657734056,0
55.040538978788774,15814.216840458874,4707.712862826651,6,32.660711593317075,4
45.93460829462151,22753.0824988545,35588.1382797712,167,83.74205988346142,0
36.62483277174947,7068.089048337244,13464.651089594106,209,104.61597039835297,0
39.16463283292343,10953.16875580719,9953.16875580719,1,86.74748131452773,2
45.02845915896811,22545.93350970271,2865.3152217964307,14,74.22493574554704,4
45.729072432760525,11322.854189670135,10872.619523867772,188,94.43670072310611,0
44.93870038954421,3546.2005353710333,2546.2005353710333,2,42.42449758683901,3
39.49106794882858,22020.46849103988,20760.46849103988,126,63.48113352993286,0
44.37601451417694,7135.079031095437,2377.7218470548332,4,60.85687537919853,3
57.18985862132426,31240.626925120865,44402.59769986418,1,83.94395297412599,2
39.70011135785486,11060.868365404429,3485.8127651583745,5,84.14587972212352,3
35.21942293915716,10640.81675878039,15321.550347152317,239,119.57085241353754,0
35.32255604300522,13251.463237848737,11431.463237848737,182,91.33377920162432,0
38.40439911727704,5327.326430573984,63.59668196990424,4,72.39402709136232,3
47.79662670157961,25138.908385041537,27920.35350180061,179,89.59612362624023,0
53.50102883524437,8388.14060600274,7548.14060600274,84,42.27735552675264,0
43.59931279811334,24064.531671255012,11009.229617197068,13,68.5656628263551,4
36.335047962403905,34509.21342460054,372.44382288572615,45,227.7056550648691,4
49.49135613359717,8337.278992138301,12926.614505528041,94,47.152464897804705,0
43.73970414686985,56865.36401506228,8547.154805494678,4,190.75007231442464,2
50.56548704910044,5002.950924093284,10442.583585219112,60,30.164204234212676,0
44.86396114324649,51642.970880896886,53959.978871887055,13,201.5592604698164,3
53.50102883524437,8388.14060600274,8388.14060600274,0,39.71865608981963,2
38.30352852356475,55066.567405866976,5392.625427837636,2,151.9629080664474,1
53.350587468112366,11373.9002378346,4352.5719882212725,4,72.51938401269817,3
44.93692749086128,6681.212062584105,561.4152153119476,4,67.55828874503916,3
37.95657852871241,10850.587271505265,69.76128953385751,16,82.30190926109724,4
49.562708952022305,15029.053650488517,21134.8622688235,223,111.72359847595618,0
35.25692150379081,38385.82938903498,35385.82938903498,3,209.68437773695064,1
32.62646787312146,29377.36176235998,27377.36176235998,2,129.65005024181704,1
44.0479746074199,27364.64903945533,13719.75543805618,1,81.01092682659836,1
60.23663776478527,22563.749101206762,11698.55866114237,4,71.29129281495288,3
52.0331011780673,16421.837025103272,183.08667252451414,15,233.8691949117717,3
53.1234132997682,20972.59928278919,345.0631425627116,6,91.7050488011772,3
37.95657852871241,10850.587271505265,6227.937780602091,1,82.8878932512653,2
44.0479746074199,27364.64903945533,3131.310685758153,14,74.05267802937848,4
50.538561660032116,8018.105026057292,15961.367112873395,202,101.31345984775142,0
32.62646787312146,29377.36176235998,958.0238585702064,4,219.07456888197942,2
37.59186226707602,8918.898614751768,7408.898614751768,151,75.89385935717824,0
34.61211789795047,17713.708119896957,16713.708119896957,1,60.62873087244787,1
39.47891928511892,21720.60641124533,14471.022262418388,2,99.9799416368355,2
45.20315998234624,17068.736496105117,5761.144752120956,4,186.9637022686445,2
60.23663776478527,22563.749101206762,20383.749101206762,218,109.44256954890851,0
62.44041087010834,18267.20919796963,22446.29058432701,227,113.66572914628352,0
39.70011135785486,11060.868365404429,418.2296103424942,5,87.19522301242765,3
40.435740438564075,10207.279847104728,92989.45705671153,2,106.06075243962519,2
35.32255604300522,13251.463237848737,5001.160495025989,6,95.59487122066552,3
46.24358632618915,19056.6163856484,13097.737570063375,1,79.62453105964782,2
54.901328947153125,51558.256631244614,77.88988895116017,12,187.70691150351107,3
53.1234132997682,20972.59928278919,45.77470327626247,13,69.2906538716136,4
44.13477713617865,20762.594380633436,147.40050034790318,16,82.31662611886006,4
59.956441370334694,10866.652808826559,998.8142185578236,4,65.44082965441953,3
50.796897791443335,29049.288629766503,27569.288629766503,148,74.22260520666678,0
41.45999887249827,25395.68344083238,22395.68344083238,3,239.93876397456052,1
37.272912857528084,10170.95325119173,233.0134187460023,45,225.71713203985985,4
26.231313441261054,8227.176788871646,339.68339917371577,31,155.75012652683972,4
55.14303883533461,14125.06664634737,253.5580018760961,10,50.19925023751451,4
40.92487407608531,39819.575076310226,22553.3285641957,3,191.53232727331442,1
36.335047962403905,34509.21342460054,439.0949653087537,13,203.54573196964412,3
54.45876983713034,14278.417557156936,13278.417557156936,1,70.12985096355897,2
49.743472978718,53289.396383658146,138280.58844736544,2,121.98600224525717,2
55.127390539563706,34031.197970456786,32701.197970456786,133,66.87386662295712,0
37.67538013279543,41104.22594766114,316.3032783092909,46,232.58829429081197,4
36.7101116623899,23548.050232308728,4212.552527550581,4,67.26668565793129,3
44.013153031904864,17745.511938853382,141.2312302555565,14,218.96187735429314,3
42.17371615592977,19804.23776982717,466.93535755564517,13,197.63569628375384,3
35.42418161243366,55941.63623634219,11643.081407611337,30,151.1325366650919,4
42.53184223058925,8878.098609790926,23507.509546228503,187,93.93048613012766,0
40.73310230006199,39727.37645447547,4632.091178477796,14,211.99876906199307,3
29.307438726055366,12014.390044830521,10173.484335701094,238,119.00486076547631,0
42.242139861338245,17258.935824024225,162.08282902561268,16,80.70373074157757,4
39.510449038042594,5231.034112871651,6813.036680814126,218,109.45304581691136,0
56.75910771834607,21796.409150886204,1886.7753589645508,7,112.9526121849851,3
43.73562436290366,9778.822746301445,272.53982108345235,12,190.43749775212893,3
46.79549484638679,4965.710798017194,218.6905614021107,6,90.45668380664031,3
34.15432087994233,7401.0963722429915,10.119312297395481,15,79.94159015896709,4
49.20179596988361,37149.78339766561,126.91023153881542,15,225.40051808663617,3
41.43336938926656,24606.16726027934,7157.420040606234,2,174.16476295549876,1
48.07384218627414,28807.327363700188,32094.18995625175,156,78.30574907639426,0
50.012489895674,7365.342431673107,11218.839058409929,145,72.92213403182407,0
51.7364893381375,15665.91773218106,5045.898545411981,7,108.44393794628664,3
46.79549484638679,4965.710798017194,3965.710798017194,1,81.64865928346717,2
27.445981554491933,15004.977006406822,3048.632297135926,5,226.71725190761396,2
29.965416007506057,13194.839539333021,387.5474958734751,44,220.71568618567676,4
36.33259597734899,12323.725242988417,9323.725242988417,3,203.66809778761018,1
42.25122453434065,8508.044156454022,6448.0441564540215,206,103.3615325166691,0
43.31573568369527,21826.907286329035,20382.06348225742,163,81.82935198043458,0
